NCBI_GeneID	Symbol	Gene_Type	SwissProt_Accessions
10855	HPSE	PROTEIN_CODING	Q9Y251
108684022	FRAXA	BIOLOGICAL_REGION	
10891	PPARGC1A	PROTEIN_CODING	Q9UBK2
109504728	LOC109504728	BIOLOGICAL_REGION	
109580095	HBB-LCR	BIOLOGICAL_REGION	
10971	YWHAQ	PROTEIN_CODING	P27348
110806262	LOC110806262	BIOLOGICAL_REGION	
110806263	LOC110806263	BIOLOGICAL_REGION	
11093	ADAMTS13	PROTEIN_CODING	Q76LX8
1111	CHEK1	PROTEIN_CODING	O14757
1113	CHGA	PROTEIN_CODING	P10645
1116	CHI3L1	PROTEIN_CODING	P36222
11186	RASSF1	PROTEIN_CODING	Q9NS23
11200	CHEK2	PROTEIN_CODING	O96017
11315	PARK7	PROTEIN_CODING	Q99497
1139	CHRNA7	PROTEIN_CODING	P36544
114548	NLRP3	PROTEIN_CODING	Q96P20
1147	CHUK	PROTEIN_CODING	O15111
116519	APOA5	PROTEIN_CODING	Q6Q788
1191	CLU	PROTEIN_CODING	P10909
120892	LRRK2	PROTEIN_CODING	Q5S007
121278	TPH2	PROTEIN_CODING	Q8IWU9
1234	CCR5	PROTEIN_CODING	P51681
1236	CCR7	PROTEIN_CODING	P32248
1244	ABCC2	PROTEIN_CODING	Q92887
125	ADH1B	PROTEIN_CODING	P00325
1268	CNR1	PROTEIN_CODING	P21554
1269	CNR2	PROTEIN_CODING	P34972
1277	COL1A1	PROTEIN_CODING	P02452
1278	COL1A2	PROTEIN_CODING	P08123
1280	COL2A1	PROTEIN_CODING	P02458
1281	COL3A1	PROTEIN_CODING	P02461
1294	COL7A1	PROTEIN_CODING	Q02388
1312	COMT	PROTEIN_CODING	P21964
133	ADM	PROTEIN_CODING	P35318
135	ADORA2A	PROTEIN_CODING	P29274
1361	CPB2	PROTEIN_CODING	Q96IY4
1378	CR1	PROTEIN_CODING	P17927
1385	CREB1	PROTEIN_CODING	P16220
1387	CREBBP	PROTEIN_CODING	Q92793
1394	CRHR1	PROTEIN_CODING	P34998
1401	CRP	PROTEIN_CODING	P02741
1410	CRYAB	PROTEIN_CODING	P02511
142	PARP1	PROTEIN_CODING	P09874
1432	MAPK14	PROTEIN_CODING	Q16539
1435	CSF1	PROTEIN_CODING	P09603
1436	CSF1R	PROTEIN_CODING	P07333
1437	CSF2	PROTEIN_CODING	P04141
1457	CSNK2A1	PROTEIN_CODING	P68400
1471	CST3	PROTEIN_CODING	P01034
1490	CCN2	PROTEIN_CODING	P29279
149233	IL23R	PROTEIN_CODING	Q5VWK5
1493	CTLA4	PROTEIN_CODING	P16410
1499	CTNNB1	PROTEIN_CODING	P35222
1508	CTSB	PROTEIN_CODING	P07858
1509	CTSD	PROTEIN_CODING	P07339
1524	CX3CR1	PROTEIN_CODING	P49238
153	ADRB1	PROTEIN_CODING	P08588
1535	CYBA	PROTEIN_CODING	P13498
1536	CYBB	PROTEIN_CODING	P04839
154	ADRB2	PROTEIN_CODING	P07550
1540	CYLD	PROTEIN_CODING	Q9NQC7
1543	CYP1A1	PROTEIN_CODING	P04798
1544	CYP1A2	PROTEIN_CODING	P05177
1545	CYP1B1	PROTEIN_CODING	Q16678
1548	CYP2A6	PROTEIN_CODING	P11509
155	ADRB3	PROTEIN_CODING	P13945
1555	CYP2B6	PROTEIN_CODING	P20813
1557	CYP2C19	PROTEIN_CODING	P33261
1559	CYP2C9	PROTEIN_CODING	P11712
1565	CYP2D6	PROTEIN_CODING	P10635
1571	CYP2E1	PROTEIN_CODING	P05181
1576	CYP3A4	PROTEIN_CODING	P08684
1577	CYP3A5	PROTEIN_CODING	P20815
1585	CYP11B2	PROTEIN_CODING	P19099
1586	CYP17A1	PROTEIN_CODING	P05093
1588	CYP19A1	PROTEIN_CODING	P11511
1589	CYP21A2	PROTEIN_CODING	P08686
1591	CYP24A1	PROTEIN_CODING	Q07973
1604	CD55	PROTEIN_CODING	P08174
1612	DAPK1	PROTEIN_CODING	P53355
1616	DAXX	PROTEIN_CODING	Q9UER7
1634	DCN	PROTEIN_CODING	P07585
1636	ACE	PROTEIN_CODING	P12821
1672	DEFB1	PROTEIN_CODING	P60022
1673	DEFB4A	PROTEIN_CODING	O15263
1728	NQO1	PROTEIN_CODING	P15559
174	AFP	PROTEIN_CODING	P02771
1756	DMD	PROTEIN_CODING	P11532
177	AGER	PROTEIN_CODING	Q15109
1786	DNMT1	PROTEIN_CODING	P26358
1788	DNMT3A	PROTEIN_CODING	Q9Y6K1
1789	DNMT3B	PROTEIN_CODING	Q9UBC3
1803	DPP4	PROTEIN_CODING	P27487
1806	DPYD	PROTEIN_CODING	Q12882
1812	DRD1	PROTEIN_CODING	P21728
1813	DRD2	PROTEIN_CODING	P14416
1814	DRD3	PROTEIN_CODING	P35462
1815	DRD4	PROTEIN_CODING	P21917
182	JAG1	PROTEIN_CODING	P78504
183	AGT	PROTEIN_CODING	P01019
185	AGTR1	PROTEIN_CODING	P30556
186	AGTR2	PROTEIN_CODING	P50052
1869	E2F1	PROTEIN_CODING	Q01094
19	ABCA1	PROTEIN_CODING	O95477
1906	EDN1	PROTEIN_CODING	P05305
1910	EDNRB	PROTEIN_CODING	P24530
1950	EGF	PROTEIN_CODING	P01133
1956	EGFR	PROTEIN_CODING	P00533
1958	EGR1	PROTEIN_CODING	P18146
196	AHR	PROTEIN_CODING	P35869
1969	EPHA2	PROTEIN_CODING	P29317
197	AHSG	PROTEIN_CODING	P02765
1977	EIF4E	PROTEIN_CODING	P06730
1991	ELANE	PROTEIN_CODING	P08246
1994	ELAVL1	PROTEIN_CODING	Q15717
2	A2M	PROTEIN_CODING	P01023
2006	ELN	PROTEIN_CODING	P15502
2017	CTTN	PROTEIN_CODING	Q14247
2022	ENG	PROTEIN_CODING	P17813
203228	C9orf72	PROTEIN_CODING	Q96LT7
2033	EP300	PROTEIN_CODING	Q09472
2034	EPAS1	PROTEIN_CODING	Q99814
2052	EPHX1	PROTEIN_CODING	P07099
2056	EPO	PROTEIN_CODING	P01588
2057	EPOR	PROTEIN_CODING	P19235
2064	ERBB2	PROTEIN_CODING	P04626
2065	ERBB3	PROTEIN_CODING	P21860
2066	ERBB4	PROTEIN_CODING	Q15303
2067	ERCC1	PROTEIN_CODING	P07992
2068	ERCC2	PROTEIN_CODING	P18074
207	AKT1	PROTEIN_CODING	P31749
2073	ERCC5	PROTEIN_CODING	P28715
2078	ERG	PROTEIN_CODING	P11308
208	AKT2	PROTEIN_CODING	P31751
2099	ESR1	PROTEIN_CODING	P03372
2100	ESR2	PROTEIN_CODING	Q92731
2113	ETS1	PROTEIN_CODING	P14921
2120	ETV6	PROTEIN_CODING	P41212
213	ALB	PROTEIN_CODING	P02768
2130	EWSR1	PROTEIN_CODING	Q01844
2146	EZH2	PROTEIN_CODING	Q15910
2147	F2	PROTEIN_CODING	P00734
2149	F2R	PROTEIN_CODING	P25116
2150	F2RL1	PROTEIN_CODING	P55085
2152	F3	PROTEIN_CODING	P13726
2153	F5	PROTEIN_CODING	P12259
2155	F7	PROTEIN_CODING	P08709
2157	F8	PROTEIN_CODING	P00451
2158	F9	PROTEIN_CODING	P00740
2159	F10	PROTEIN_CODING	P00742
216	ALDH1A1	PROTEIN_CODING	P00352
2160	F11	PROTEIN_CODING	P03951
2161	F12	PROTEIN_CODING	P00748
2162	F13A1	PROTEIN_CODING	P00488
2167	FABP4	PROTEIN_CODING	P15090
217	ALDH2	PROTEIN_CODING	P05091
2185	PTK2B	PROTEIN_CODING	Q14289
2194	FASN	PROTEIN_CODING	P49327
2200	FBN1	PROTEIN_CODING	P35555
2212	FCGR2A	PROTEIN_CODING	P12318
2214	FCGR3A	PROTEIN_CODING	P08637
2243	FGA	PROTEIN_CODING	P02671
2244	FGB	PROTEIN_CODING	P02675
2247	FGF2	PROTEIN_CODING	P09038
2260	FGFR1	PROTEIN_CODING	P11362
2261	FGFR3	PROTEIN_CODING	P22607
2263	FGFR2	PROTEIN_CODING	P21802
2264	FGFR4	PROTEIN_CODING	P22455
2266	FGG	PROTEIN_CODING	P02679
2272	FHIT	PROTEIN_CODING	P49789
2289	FKBP5	PROTEIN_CODING	Q13451
22914	KLRK1	PROTEIN_CODING	P26718
22943	DKK1	PROTEIN_CODING	O94907
23028	KDM1A	PROTEIN_CODING	O60341
2305	FOXM1	PROTEIN_CODING	Q08050
2308	FOXO1	PROTEIN_CODING	Q12778
2309	FOXO3	PROTEIN_CODING	O43524
2312	FLG	PROTEIN_CODING	P20930
2316	FLNA	PROTEIN_CODING	P21333
2321	FLT1	PROTEIN_CODING	P17948
2322	FLT3	PROTEIN_CODING	P36888
2332	FMR1	PROTEIN_CODING	Q06787
2335	FN1	PROTEIN_CODING	P02751
23405	DICER1	PROTEIN_CODING	Q9UPY3
23410	SIRT3	PROTEIN_CODING	Q9NTG7
23411	SIRT1	PROTEIN_CODING	Q96EB6
23435	TARDBP	PROTEIN_CODING	Q13148
23451	SF3B1	PROTEIN_CODING	O75533
23476	BRD4	PROTEIN_CODING	O60885
2353	FOS	PROTEIN_CODING	P01100
23586	RIGI	PROTEIN_CODING	O95786
23621	BACE1	PROTEIN_CODING	P56817
238	ALK	PROTEIN_CODING	Q9UM73
2395	FXN	PROTEIN_CODING	Q16595
24	ABCA4	PROTEIN_CODING	P78363
240	ALOX5	PROTEIN_CODING	P09917
246778	IL27	PROTEIN_CODING	Q8NEV9
2475	MTOR	PROTEIN_CODING	P42345
249	ALPL	PROTEIN_CODING	P05186
2492	FSHR	PROTEIN_CODING	P23945
25	ABL1	PROTEIN_CODING	P00519
2516	NR5A1	PROTEIN_CODING	Q13285
2521	FUS	PROTEIN_CODING	P35637
252995	FNDC5	PROTEIN_CODING	Q8NAU1
2534	FYN	PROTEIN_CODING	P06241
2539	G6PD	PROTEIN_CODING	P11413
2547	XRCC6	PROTEIN_CODING	P12956
255738	PCSK9	PROTEIN_CODING	Q8NBP7
25937	WWTR1	PROTEIN_CODING	Q9GZV5
25939	SAMHD1	PROTEIN_CODING	Q9Y3Z3
2597	GAPDH	PROTEIN_CODING	P04406
26191	PTPN22	PROTEIN_CODING	Q9Y2R2
2623	GATA1	PROTEIN_CODING	P15976
2624	GATA2	PROTEIN_CODING	P23769
2625	GATA3	PROTEIN_CODING	P23771
2626	GATA4	PROTEIN_CODING	P43694
2629	GBA1	PROTEIN_CODING	P04062
26291	FGF21	PROTEIN_CODING	Q9NSA1
2638	GC	PROTEIN_CODING	P02774
2641	GCG	PROTEIN_CODING	P01275
2643	GCH1	PROTEIN_CODING	P30793
2645	GCK	PROTEIN_CODING	P35557
2670	GFAP	PROTEIN_CODING	P14136
26762	HAVCR1	PROTEIN_CODING	Q96D42
2678	GGT1	PROTEIN_CODING	P19440
268	AMH	PROTEIN_CODING	P03971
2688	GH1	PROTEIN_CODING	P01241
2690	GHR	PROTEIN_CODING	P10912
2697	GJA1	PROTEIN_CODING	P17302
2705	GJB1	PROTEIN_CODING	P08034
2706	GJB2	PROTEIN_CODING	P29033
27161	AGO2	PROTEIN_CODING	Q9UKV8
2717	GLA	PROTEIN_CODING	P06280
27178	IL37	PROTEIN_CODING	Q9NZH6
27185	DISC1	PROTEIN_CODING	Q9NRI5
2719	GPC3	PROTEIN_CODING	P51654
27250	PDCD4	PROTEIN_CODING	Q53EL6
2735	GLI1	PROTEIN_CODING	P08151
2740	GLP1R	PROTEIN_CODING	P43220
2776	GNAQ	PROTEIN_CODING	P50148
2778	GNAS	PROTEIN_CODING	O95467,P63092,P84996,Q5JWF2
2784	GNB3	PROTEIN_CODING	P16520
28	ABO	PROTEIN_CODING	P16442
2811	GP1BA	PROTEIN_CODING	P07359
282617	IFNL3	PROTEIN_CODING	Q8IZI9
283120	H19	ncRNA	
283131	NEAT1	ncRNA	
2833	CXCR3	PROTEIN_CODING	P49682
284	ANGPT1	PROTEIN_CODING	Q15389
285	ANGPT2	PROTEIN_CODING	O15123
2852	GPER1	PROTEIN_CODING	Q99527
2876	GPX1	PROTEIN_CODING	P07203
2885	GRB2	PROTEIN_CODING	P62993
2896	GRN	PROTEIN_CODING	P28799
2904	GRIN2B	PROTEIN_CODING	Q13224
2908	NR3C1	PROTEIN_CODING	P04150
29110	TBK1	PROTEIN_CODING	Q9UHD2
29126	CD274	PROTEIN_CODING	Q9NZQ7
2919	CXCL1	PROTEIN_CODING	P09341
2932	GSK3B	PROTEIN_CODING	P49841
2934	GSN	PROTEIN_CODING	P06396
2944	GSTM1	PROTEIN_CODING	P09488
2950	GSTP1	PROTEIN_CODING	P09211
2952	GSTT1	PROTEIN_CODING	P30711
2956	MSH6	PROTEIN_CODING	P52701
3002	GZMB	PROTEIN_CODING	P10144
301	ANXA1	PROTEIN_CODING	P04083
3014	H2AX	PROTEIN_CODING	P16104
302	ANXA2	PROTEIN_CODING	P07355
3039	HBA1	PROTEIN_CODING	P69905
3040	HBA2	PROTEIN_CODING	P69905
3043	HBB	PROTEIN_CODING	P68871
3064	HTT	PROTEIN_CODING	P42858
3065	HDAC1	PROTEIN_CODING	Q13547
3066	HDAC2	PROTEIN_CODING	Q92769
3075	CFH	PROTEIN_CODING	P08603
3077	HFE	PROTEIN_CODING	Q30201
308	ANXA5	PROTEIN_CODING	P08758
3082	HGF	PROTEIN_CODING	P14210
30835	CD209	PROTEIN_CODING	Q9NNX6
3084	NRG1	PROTEIN_CODING	Q02297
3091	HIF1A	PROTEIN_CODING	Q16665
3105	HLA-A	PROTEIN_CODING	P04439
3106	HLA-B	PROTEIN_CODING	P01889
3107	HLA-C	PROTEIN_CODING	P10321
3115	HLA-DPB1	PROTEIN_CODING	P04440
3117	HLA-DQA1	PROTEIN_CODING	P01909
3119	HLA-DQB1	PROTEIN_CODING	P01920
3123	HLA-DRB1	PROTEIN_CODING	P01911
3133	HLA-E	PROTEIN_CODING	P13747
3135	HLA-G	PROTEIN_CODING	P17693
3146	HMGB1	PROTEIN_CODING	P09429
3159	HMGA1	PROTEIN_CODING	P17096
3162	HMOX1	PROTEIN_CODING	P09601
3164	NR4A1	PROTEIN_CODING	P22736
3169	FOXA1	PROTEIN_CODING	P55317
3172	HNF4A	PROTEIN_CODING	P41235
3178	HNRNPA1	PROTEIN_CODING	P09651
3190	HNRNPK	PROTEIN_CODING	P61978
324	APC	PROTEIN_CODING	P25054
3240	HP	PROTEIN_CODING	P00738
326	AIRE	PROTEIN_CODING	O43918
3265	HRAS	PROTEIN_CODING	P01112
328	APEX1	PROTEIN_CODING	P27695
3290	HSD11B1	PROTEIN_CODING	P28845
3297	HSF1	PROTEIN_CODING	Q00613
3303	HSPA1A	PROTEIN_CODING	P0DMV8
3308	HSPA4	PROTEIN_CODING	P34932
3309	HSPA5	PROTEIN_CODING	P11021
331	XIAP	PROTEIN_CODING	P98170
3312	HSPA8	PROTEIN_CODING	P11142
3315	HSPB1	PROTEIN_CODING	P04792
332	BIRC5	PROTEIN_CODING	O15392
3320	HSP90AA1	PROTEIN_CODING	P07900
3329	HSPD1	PROTEIN_CODING	P10809
335	APOA1	PROTEIN_CODING	P02647
3350	HTR1A	PROTEIN_CODING	P08908
3356	HTR2A	PROTEIN_CODING	P28223
3358	HTR2C	PROTEIN_CODING	P28335
3371	TNC	PROTEIN_CODING	P24821
3375	IAPP	PROTEIN_CODING	P10997
338	APOB	PROTEIN_CODING	P04114
3383	ICAM1	PROTEIN_CODING	P05362
3397	ID1	PROTEIN_CODING	P41134
340061	STING1	PROTEIN_CODING	Q86WV6
3417	IDH1	PROTEIN_CODING	O75874
3418	IDH2	PROTEIN_CODING	P48735
3439	IFNA1	PROTEIN_CODING	P01562
345	APOC3	PROTEIN_CODING	P02656
3456	IFNB1	PROTEIN_CODING	P01574
3458	IFNG	PROTEIN_CODING	P01579
3479	IGF1	PROTEIN_CODING	P05019
348	APOE	PROTEIN_CODING	P02649
3480	IGF1R	PROTEIN_CODING	P08069
3481	IGF2	PROTEIN_CODING	P01344
3484	IGFBP1	PROTEIN_CODING	P08833
3485	IGFBP2	PROTEIN_CODING	P18065
3486	IGFBP3	PROTEIN_CODING	P17936
3491	CCN1	PROTEIN_CODING	O00622
350	APOH	PROTEIN_CODING	P02749
351	APP	PROTEIN_CODING	P05067
354	KLK3	PROTEIN_CODING	P07288
355	FAS	PROTEIN_CODING	P25445
3551	IKBKB	PROTEIN_CODING	O14920
3552	IL1A	PROTEIN_CODING	P01583
3553	IL1B	PROTEIN_CODING	P01584
3557	IL1RN	PROTEIN_CODING	P18510
3558	IL2	PROTEIN_CODING	P60568
3559	IL2RA	PROTEIN_CODING	P01589
356	FASLG	PROTEIN_CODING	P48023
3565	IL4	PROTEIN_CODING	P05112
3566	IL4R	PROTEIN_CODING	P24394
3569	IL6	PROTEIN_CODING	P05231
3570	IL6R	PROTEIN_CODING	P08887
3574	IL7	PROTEIN_CODING	P13232
3575	IL7R	PROTEIN_CODING	P16871
3576	CXCL8	PROTEIN_CODING	P10145
3579	CXCR2	PROTEIN_CODING	P25025
358	AQP1	PROTEIN_CODING	P29972
3586	IL10	PROTEIN_CODING	P22301
3592	IL12A	PROTEIN_CODING	P29459
3593	IL12B	PROTEIN_CODING	P29460
3596	IL13	PROTEIN_CODING	P35225
3600	IL15	PROTEIN_CODING	P40933
3605	IL17A	PROTEIN_CODING	Q16552
3606	IL18	PROTEIN_CODING	Q14116
361	AQP4	PROTEIN_CODING	P55087
3611	ILK	PROTEIN_CODING	Q13418
3620	IDO1	PROTEIN_CODING	P14902
3624	INHBA	PROTEIN_CODING	P08476
3627	CXCL10	PROTEIN_CODING	P02778
3630	INS	PROTEIN_CODING	P01308
3643	INSR	PROTEIN_CODING	P06213
3655	ITGA6	PROTEIN_CODING	P23229
3659	IRF1	PROTEIN_CODING	P10914
3661	IRF3	PROTEIN_CODING	Q14653
3663	IRF5	PROTEIN_CODING	Q13568
3667	IRS1	PROTEIN_CODING	P35568
367	AR	PROTEIN_CODING	P10275
3673	ITGA2	PROTEIN_CODING	P17301
3674	ITGA2B	PROTEIN_CODING	P08514
3676	ITGA4	PROTEIN_CODING	P13612
3678	ITGA5	PROTEIN_CODING	P08648
3684	ITGAM	PROTEIN_CODING	P11215
3685	ITGAV	PROTEIN_CODING	P06756
3688	ITGB1	PROTEIN_CODING	P05556
3689	ITGB2	PROTEIN_CODING	P05107
3690	ITGB3	PROTEIN_CODING	P05106
3716	JAK1	PROTEIN_CODING	P23458
3717	JAK2	PROTEIN_CODING	O60674
3725	JUN	PROTEIN_CODING	P05412
3757	KCNH2	PROTEIN_CODING	Q12809
3767	KCNJ11	PROTEIN_CODING	Q14654
3784	KCNQ1	PROTEIN_CODING	P51787
378938	MALAT1	ncRNA	
3791	KDR	PROTEIN_CODING	P35968
3814	KISS1	PROTEIN_CODING	Q15726
3815	KIT	PROTEIN_CODING	P10721
3838	KPNA2	PROTEIN_CODING	P52292
3845	KRAS	PROTEIN_CODING	P01116
387	RHOA	PROTEIN_CODING	P61586
3875	KRT18	PROTEIN_CODING	P05783
3880	KRT19	PROTEIN_CODING	P08727
3897	L1CAM	PROTEIN_CODING	P32004
3925	STMN1	PROTEIN_CODING	P16949
3932	LCK	PROTEIN_CODING	P06239
3934	LCN2	PROTEIN_CODING	P80188
3939	LDHA	PROTEIN_CODING	P00338
3949	LDLR	PROTEIN_CODING	P01130
3952	LEP	PROTEIN_CODING	P41159
3953	LEPR	PROTEIN_CODING	P48357
3956	LGALS1	PROTEIN_CODING	P09382
3958	LGALS3	PROTEIN_CODING	P17931
3973	LHCGR	PROTEIN_CODING	P22888
3990	LIPC	PROTEIN_CODING	P11150
4000	LMNA	PROTEIN_CODING	P02545
4015	LOX	PROTEIN_CODING	P28300
4018	LPA	PROTEIN_CODING	P08519
4023	LPL	PROTEIN_CODING	P06858
4035	LRP1	PROTEIN_CODING	Q07954
4041	LRP5	PROTEIN_CODING	O75197
4049	LTA	PROTEIN_CODING	P01374
4057	LTF	PROTEIN_CODING	P02788
4067	LYN	PROTEIN_CODING	P07948
406906	MIR122	ncRNA	
406910	MIR125A	ncRNA	
406913	MIR126	ncRNA	
406928	MIR137	ncRNA	
406935	MIR143	ncRNA	
406937	MIR145	ncRNA	
406938	MIR146A	ncRNA	
406947	MIR155	ncRNA	
406952	MIR17	ncRNA	
406985	MIR200C	ncRNA	
406986	MIR203A	ncRNA	
406988	MIR205	ncRNA	
406991	MIR21	ncRNA	
406992	MIR210	ncRNA	
406996	MIR214	ncRNA	
407006	MIR221	ncRNA	
407008	MIR223	ncRNA	
407018	MIR27A	ncRNA	
407021	MIR29A	ncRNA	
407035	MIR31	ncRNA	
407040	MIR34A	ncRNA	
4072	EPCAM	PROTEIN_CODING	P16422
4087	SMAD2	PROTEIN_CODING	Q15796
4088	SMAD3	PROTEIN_CODING	P84022
4089	SMAD4	PROTEIN_CODING	Q13485
409	ARRB2	PROTEIN_CODING	P32121
4092	SMAD7	PROTEIN_CODING	O15105
4128	MAOA	PROTEIN_CODING	P21397
4137	MAPT	PROTEIN_CODING	P10636
4153	MBL2	PROTEIN_CODING	P11226
4157	MC1R	PROTEIN_CODING	Q01726
4160	MC4R	PROTEIN_CODING	P32245
4170	MCL1	PROTEIN_CODING	Q07820
4179	CD46	PROTEIN_CODING	P15529
4193	MDM2	PROTEIN_CODING	Q00987
4194	MDM4	PROTEIN_CODING	O15151
4204	MECP2	PROTEIN_CODING	P51608
4210	MEFV	PROTEIN_CODING	O15553
4221	MEN1	PROTEIN_CODING	O00255
4233	MET	PROTEIN_CODING	P08581
4254	KITLG	PROTEIN_CODING	P21583
4255	MGMT	PROTEIN_CODING	P16455
4282	MIF	PROTEIN_CODING	P14174
4286	MITF	PROTEIN_CODING	O75030
4288	MKI67	PROTEIN_CODING	P46013
4292	MLH1	PROTEIN_CODING	P40692
4297	KMT2A	PROTEIN_CODING	Q03164
43	ACHE	PROTEIN_CODING	P22303
4306	NR3C2	PROTEIN_CODING	P08235
4311	MME	PROTEIN_CODING	P08473
4312	MMP1	PROTEIN_CODING	P03956
4313	MMP2	PROTEIN_CODING	P08253
4314	MMP3	PROTEIN_CODING	P08254
4316	MMP7	PROTEIN_CODING	P09237
4317	MMP8	PROTEIN_CODING	P22894
4318	MMP9	PROTEIN_CODING	P14780
4322	MMP13	PROTEIN_CODING	P45452
4323	MMP14	PROTEIN_CODING	P50281
4352	MPL	PROTEIN_CODING	P40238
4353	MPO	PROTEIN_CODING	P05164
4361	MRE11	PROTEIN_CODING	P49959
4363	ABCC1	PROTEIN_CODING	P33527
4436	MSH2	PROTEIN_CODING	P43246
4524	MTHFR	PROTEIN_CODING	P42898
4548	MTR	PROTEIN_CODING	Q99707
4552	MTRR	PROTEIN_CODING	Q9UBK8
4582	MUC1	PROTEIN_CODING	P15941
4586	MUC5AC	PROTEIN_CODING	P98088
4595	MUTYH	PROTEIN_CODING	Q9UIF7
4602	MYB	PROTEIN_CODING	P10242
4607	MYBPC3	PROTEIN_CODING	Q14896
4609	MYC	PROTEIN_CODING	P01106
4613	MYCN	PROTEIN_CODING	P04198
4615	MYD88	PROTEIN_CODING	Q99836
462	SERPINC1	PROTEIN_CODING	P01008
4625	MYH7	PROTEIN_CODING	P12883
4627	MYH9	PROTEIN_CODING	P35579
4653	MYOC	PROTEIN_CODING	Q99972
467	ATF3	PROTEIN_CODING	P18847
468	ATF4	PROTEIN_CODING	P18848
4683	NBN	PROTEIN_CODING	O60934
4684	NCAM1	PROTEIN_CODING	P13591
4691	NCL	PROTEIN_CODING	P19338
472	ATM	PROTEIN_CODING	Q13315
4734	NEDD4	PROTEIN_CODING	P46934
4763	NF1	PROTEIN_CODING	P21359
4771	NF2	PROTEIN_CODING	P35240
4780	NFE2L2	PROTEIN_CODING	Q16236
4790	NFKB1	PROTEIN_CODING	P19838
4791	NFKB2	PROTEIN_CODING	Q00653
4792	NFKBIA	PROTEIN_CODING	P25963
4803	NGF	PROTEIN_CODING	P01138
4804	NGFR	PROTEIN_CODING	P08138
4830	NME1	PROTEIN_CODING	P15531
4842	NOS1	PROTEIN_CODING	P29475
4843	NOS2	PROTEIN_CODING	P35228
4846	NOS3	PROTEIN_CODING	P29474
4851	NOTCH1	PROTEIN_CODING	P46531
4852	NPY	PROTEIN_CODING	P01303
4853	NOTCH2	PROTEIN_CODING	Q04721
4854	NOTCH3	PROTEIN_CODING	Q9UM47
4869	NPM1	PROTEIN_CODING	P06748
4878	NPPA	PROTEIN_CODING	P01160
4879	NPPB	PROTEIN_CODING	P16860
488	ATP2A2	PROTEIN_CODING	P16615
4893	NRAS	PROTEIN_CODING	P01111
4904	YBX1	PROTEIN_CODING	P67809
4907	NT5E	PROTEIN_CODING	P21589
4914	NTRK1	PROTEIN_CODING	P04629
4915	NTRK2	PROTEIN_CODING	Q16620
494324	MIR375	ncRNA	
4968	OGG1	PROTEIN_CODING	O15527
4973	OLR1	PROTEIN_CODING	P78380
4976	OPA1	PROTEIN_CODING	O60313
4982	TNFRSF11B	PROTEIN_CODING	O00300
4988	OPRM1	PROTEIN_CODING	P35372
5021	OXTR	PROTEIN_CODING	P30559
5027	P2RX7	PROTEIN_CODING	Q99572
5037	PEBP1	PROTEIN_CODING	P30086
5045	FURIN	PROTEIN_CODING	P09958
50507	NOX4	PROTEIN_CODING	Q9NPH5
5053	PAH	PROTEIN_CODING	P00439
5054	SERPINE1	PROTEIN_CODING	P05121
5058	PAK1	PROTEIN_CODING	Q13153
